timestamp,symbol,price,entropy,pressure,nrg,regime,symmetry,slope,ret_3s,ret_8s,ret_21s,ret_55s,ret_89s
1768938939150,AIXBT,0.02817550,3.4101,-13.8592,28.9104,Compression,0.5000,0.00000000,Some(0.015971322602974326),Some(-0.023069688204289406),Some(-0.023069688204289406),Some(-0.12067221522244259),Some(-0.15616404322904262)
1768938939150,INIT,0.07989800,3.2501,30.8409,35.3365,Compression,0.5000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(-0.010012766276995823),Some(-0.1020050564469677)
1768938939150,RNDR,0.00000000,0.0000,0.0000,0.0000,Oscillatory,1.0000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(0.0),Some(0.0)
1768938939150,YGG,0.06129950,3.1714,13.2807,26.4916,Compression,0.2549,0.00000052,Some(0.004894004029390226),Some(0.004894004029390226),Some(-0.05220270964689322),Some(-0.12642843742608206),Some(-0.15905513095539173)
1768938939150,XAI,0.01567000,3.0780,-29.9205,33.1809,Compression,0.0000,-0.00000047,Some(0.0),Some(0.0),Some(0.0),Some(-0.06381620931716396),Some(-0.06381620931716396)
1768938939150,BLZ,0.00000000,0.0000,0.0000,0.0000,Oscillatory,1.0000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(0.0),Some(0.0)
1768938939150,ICP,3.66665000,3.5052,4.7387,19.2405,Compression,0.5000,0.00000000,Some(-0.002727285124016935),Some(-0.009545497934083496),Some(-0.013636425620108897),Some(-0.0177273533061343),Some(-0.04772748967039325)
1768938939150,RLB,0.00000000,0.0000,0.0000,0.0000,Oscillatory,1.0000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(0.0),Some(0.0)
1768938939150,ZORA,0.03088100,3.4216,-49.0378,42.0591,Compression,0.5000,0.00000000,Some(0.008095592759309933),Some(0.012952948414895893),Some(0.01619118551860863),Some(-0.07609857193742349),Some(0.012952948414895893)
1768938939150,ENS,9.05200000,3.1689,11.3406,25.0168,Compression,0.0256,-0.00008641,Some(0.0011047282368511593),Some(-0.0005523641184059558),Some(-0.006076005302701),Some(-0.06959787892178004),Some(-0.0889306230667342)
1768938939150,FTM,0.00000000,0.0000,0.0000,0.0000,Oscillatory,1.0000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(0.0),Some(0.0)
1768938939150,GAS,1.87350000,3.4657,-3.6996,16.8489,Compression,0.4118,-0.00002152,Some(0.0),Some(0.0),Some(0.0),Some(-0.06938884440886463),Some(-0.04270082732852479)
1768938939150,FIL,1.30520000,3.1901,-4.7118,17.4637,Oscillatory,0.8077,-0.00004147,Some(0.0),Some(-0.011492491572180087),Some(-0.011492491572180087),Some(-0.053631627336817714),Some(-0.08044744100522658)
1768938939150,WLFI,0.16163500,3.0570,-31.4076,33.4065,Compression,0.5000,0.00000000,Some(-0.003093389426798033),Some(-0.006186778853578894),Some(0.030933894267963155),Some(-0.02165372598756906),Some(-0.015466947133972994)
1768938939151,AERO,0.46864500,3.2467,18.9146,30.5125,Compression,0.5000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(-0.014936679149454062),Some(-0.06188052790492003)
1768938939150,BABY,0.01697950,3.4817,13.9389,29.5765,Compression,0.5000,0.00000000,Some(0.0058894549309520304),Some(0.017668364792835657),Some(0.038281457051147334),Some(0.04122618451662335),Some(-0.05300509437852741)
1768938939150,S,0.07248650,3.3282,-32.9348,36.8510,Compression,0.5000,0.00000000,Some(0.019313941216640512),Some(0.0),Some(0.0062080525339263185),Some(-0.11933256537424658),Some(-0.2993660888579184)
1768938939151,TRX,0.29741500,3.0271,-42.5800,35.8964,Compression,0.0000,-0.00000003,Some(0.0),Some(0.013449220785784175),Some(0.013449220785784175),Some(0.013449220785784175),Some(0.015130373383997866)
1768938939150,STBL,0.04430250,3.3042,24.0565,33.4370,Compression,0.5000,0.00000000,Some(0.006771626883349836),Some(0.010157440325032586),Some(0.01241464928615442),Some(-0.045144179222389676),Some(-0.08013091811974675)
1768938939151,TNSR,0.06021500,3.3212,8.2545,23.2164,Compression,0.0000,-0.00000028,Some(0.04982147305489039),Some(0.041517894212412504),Some(0.04982147305489039),Some(0.00830357884247789),Some(0.08303578842481348)
1768938939151,BTC,89732.50000000,2.7097,-68.2508,36.0746,Ballistic,0.0000,-0.15066907,Some(0.0055721171259019864),Some(0.013373081102164766),Some(0.013373081102164766),Some(-0.03566154960577271),Some(-0.03900481988131391)
